Номер связки,Текст вопросов,Текст ответа,Тематика,preprocess_natasha,preprocess_deepmipt,вопросы_препроцессинговые,deeppavlov,natasha
57,"У ребенка в школе продлили каникулы. Могу ли я взять больничный на это время?
Больничный лист?
Есть ли компенсация, в случае если есть разница между оплатой больничного и зарплатой?
как оплачивается больничный при коронавирусе?
Я контактный, дадут ли больничный?
Кто компенсирует разницу между оплатой больничного и реальной зарплатой, если я был в самоизоляции и здоров?
Как я могу получить больничный лист, если я нахожусь на самоизоляции?
Дадут ли больничный, контактировал с больным?
Не могу получить дистанционный оплачиваемый больничный, потому что страна, откуда я вернулся, не содержится в списке стран, после посещения которых необходимо соблюдать карантин?
Листок нетрудоспособности?
Больничный по контакту?
На какой срок больничный?
Как оплатят больничный за время болезни и карантина?
Как получить больничный для работающих граждан 65 лет и старше?","Листок временной нетрудоспособности (больничный)  выдается застрахованным лицам - гражданам Российской Федерации, постоянно или временно проживающим на территории Российской Федерации, иностранным гражданам и лицам без гражданства, а также иностранным гражданам и лицам без гражданства, временно пребывающим в Российской Федерации (за исключением высококвалифицированных специалистов в соответствии с Федеральным законом от 25 июля 2002 г. N 115-ФЗ ""О правовом положении иностранных граждан в Российской Федерации"") (далее - граждане), указанным в статье 2 Федерального закона от 29 декабря 2006 г. N 255-ФЗ ""Об обязательном социальном страховании на случай временной нетрудоспособности и в связи с материнством"" (далее - Федеральный закон от 29 декабря 2006 г. N 255-ФЗ):
1. лицам, работающим по трудовым договорам;
государственным гражданским служащим, муниципальным служащим;
лицам, замещающим государственные должности Российской Федерации, государственные должности субъекта Российской Федерации, а также муниципальные должности, замещаемые на постоянной основе;
членам производственного кооператива, принимающим личное трудовое участие в его деятельности;
2. священнослужителям;
3. адвокатам, индивидуальным предпринимателям, членам крестьянских (фермерских) хозяйств, физическим лицам, не признаваемым индивидуальными предпринимателями (нотариусы, занимающиеся частной практикой, иные лица, занимающиеся в установленном законодательством Российской Федерации порядке частной практикой), членам семейных (родовых) общин коренных малочисленных народов Севера, Сибири и Дальнего Востока Российской Федерации, добровольно вступившим в правоотношения по обязательному социальному страхованию на случай временной нетрудоспособности и в связи с материнством и уплачивающим за себя страховые взносы в Фонд социального страхования Российской Федерации в соответствии со статьей 4.5 Федерального закона от 29 декабря 2006 г. N 255-ФЗ;
4. иным категориям лиц, которые подлежат обязательному социальному страхованию на случай временной нетрудоспособности и в связи с материнством, обязательному социальному страхованию от несчастных случаев на производстве и профессиональных заболеваний в соответствии с федеральными законами при условии уплаты ими или за них страховых взносов в Фонд социального страхования Российской Федерации;
5. лицам, у которых заболевание или травма наступили в течение 30 календарных дней со дня прекращения работы по трудовому договору, осуществления служебной или иной деятельности либо в период со дня заключения трудового договора до дня его аннулирования;
6. женщинам, уволенным в связи с ликвидацией организаций, в связи с прекращением деятельности в качестве индивидуального предпринимателя, прекращением полномочий нотариусом, занимающимся частной практикой, прекращением статуса адвоката, у которых беременность наступила в течение 12 месяцев до признания их в установленном порядке безработными;
7. гражданам, признанным безработными и состоящим на учете в государственных учреждениях службы занятости населения, в случае заболевания, травмы, отравлений и иных состояний, связанных с временной потерей трудоспособности, на время протезирования в условиях стационара, беременности и родов, при усыновлении ребенка
8. застрахованным лицам из числа иностранных граждан и лиц без гражданства, временно пребывающих на территории Российской Федерации, утратившим трудоспособность вследствие несчастного случая на производстве или профессионального заболевания.
Выдача листков нетрудоспособности осуществляется лицами, имеющими в соответствии с законодательством Российской Федерации о лицензировании лицензию на медицинскую деятельность, включая работы (услуги) по экспертизе временной нетрудоспособности.
ЛВН ( больничный ) выдается в случае обострения хронического заболевания или наличия острого заболевания( простуда, ОРВИ, ОРЗ, Неврит, Панкреатит, Гастрит).
На время эпидемии новой коронавирусной инфекции в РФ был разработан упрощенный порядок получения ЛВН для лиц прибывших из-за границы и контактных, с заболевшими новой коронавирусной инфекцией. В настоящие время в связи с улучшающейся эпидемиологической ситуацией в ряде регионов выдача ЛВН осуществляется в прежнем режиме. С 1 июля 2020 года утратили силу Временные правила оформления листков нетрудоспособности, назначения и выплаты по временной нетрудоспособности в случае карантина, утвержденные постановлением Правительства РФ от 18.03.2020 № 294, в связи с окончанием срока их действия. 
Условия оплаты и сумму выплаты по больничному листу Вы можете уточнить у вашего работодателя. 
В случае нахождения на самоизоляции компенсация разницы между заработной платой и выплатами по ЛВН  действующим законодательством не предусмотрена, условия оплаты и сумму выплаты Вы можете узнать у работодателя. Если вы хорошо себя чувствуете и можете выполнять свой рабочий функционал из дома, рекомендуем договариваться с работодателем об удаленном режиме работы.
В настоящие время для оформления ЛВН в случае, если Вы вернулись из-за границы или  имели контакт с больным новой коронавирусной инфекцией, необходимо обратится  в медицинскую организацию и вызвать  врача на дом. Если у Вас остались вопросы по ЛВН, рекомендуем Вам обратится по телефону горячей линии ФСС РФ по вашему региону ( номера телефонов указаны на официальном сайте https://fss.ru) либо по телефону единого колл-центра ФСС РФ по коронавирусу: 8 (800) 302-75-49.",БОЛЬНИЧНЫЙ ЛИСТ,"У ребенка в школе продлили каникулы. Могу ли я взять больничный на это время?
Больничный лист?
Есть ли компенсация, в случае если есть разница между оплатой больничного и зарплатой?
как оплачивается больничный при коронавирусе?
Я контактный, дадут ли больничный?
Кто компенсирует разницу между оплатой больничного и реальной зарплатой, если я был в самоизоляции и здоров?
Как я могу получить больничный лист, если я нахожусь на самоизоляции?
Дадут ли больничный, контактировал с больным?
Не могу получить дистанционный оплачиваемый больничный, потому что страна, откуда я вернулся, не содержится в списке стран, после посещения которых необходимо соблюдать карантин?
Листок нетрудоспособности?
Больничный по контакту?
На какой срок больничный?
Как оплатят больничный за время болезни и карантина?
Как получить больничный для работающих граждан 65 лет и старше?","У ребенка в школе продлили каникулы . Могу ли я взять больничный на это время ? Больничный лист ? Есть ли компенсация , в случае если есть разница между оплатой больничного и зарплатой ? 
 как оплачивается больничный при коронавирусе ? Я контактный , дадут ли больничный ? Кто компенсирует разницу между оплатой больничного и реальной зарплатой , если я был в самоизоляции и здоров ? Как я могу получить больничный лист , если я нахожусь на самоизоляции ? Дадут ли больничный , контактировал с больным ? Не могу получить дистанционный оплачиваемый больничный , потому что страна , откуда я вернулся , не содержится в списке стран , после посещения которых необходимо соблюдать карантин ? Листок нетрудоспособности ? Больничный по контакту ? На какой срок больничный ? Как оплатят больничный за время болезни и карантина ? Как получить больничный для работающих граждан 65 лет и старше ? ",у ребёнок в школа продлить каникулы мочь ли я взять больничный на это время больничный лист есть ли компенсация в случай если есть разница между оплата больничный и зарплата как оплачиваться больничный при коронавирус я контактный дать ли больничный кто компенсировать разница между оплата больничный и реальный зарплата если я быть в самоизоляция и здоровый как я мочь получить больничный лист если я находиться на самоизоляция дать ли больничный контактировать с больной не мочь получить дистанционный оплачивать больничный потому что страна откуда я вернуться не содержаться в список страна после посещение который необходимо соблюдать карантин листок нетрудоспособность больничный по контакт на какой срок больничный как оплатить больничный за время болезнь и карантин как получить больничный для работать гражданин 65 год и старший ,у ребёнок в школа продлить каникулы мочь ли я взять больничный на это время больничный лист есть ли компенсация в случай если есть разница между оплата больничный и зарплата как оплачиваться больничный при коронавирус я контактный дать ли больничный кто компенсировать разница между оплата больничный и реальный зарплата если я быть в самоизоляция и здоровый как я мочь получить больничный лист если я находиться на самоизоляция дать ли больничный контактировать с больной не мочь получить дистанционный оплачивать больничный потому что страна откуда я вернуться не содержаться в список страна после посещение который необходимо соблюдать карантин листок нетрудоспособность больничный по контакт на какой срок больничный как оплатить больничный за время болезнь и карантин как получить больничный для работать гражданин 65 год и старший ,у ребёнок в школа продлить каникулы мочь ли я взять больничный на это время больничный лист есть ли компенсация в случай если есть разница между оплата больничный и зарплата как оплачиваться больничный при коронавирус я контактный дать ли больничный кто компенсировать разница между оплата больничный и реальный зарплата если я быть в самоизоляция и здоровый как я мочь получить больничный лист если я находиться на самоизоляция дать ли больничный контактировать с больной не мочь получить дистанционный оплачивать больничный потому что страна откуда я вернуться не содержаться в список страна после посещение который необходимо соблюдать карантин листок нетрудоспособность больничный по контакт на какой срок больничный как оплатить больничный за время болезнь и карантин как получить больничный для работать гражданин 65 год и старший 
78,"Где сделать вакцинацию от коронавируса?
Существует ли вакцина от коронавируса?
?
Когда будет доступна вакцина от ковида?
Есть ли уже вакцина?
Началась ли вакцинация?
Как в целом происходит производство вакцин?
Почему так долго производят вакцину от коронавируса?
Почему не сделали вакцину от коронавируса в 2002 году при первом его проявлении, если вирус уже тогда вызывал острый респираторный синдром?
Когда можно провакцинироваться от коронавируса?
Почему раньше не изобрели вакцину от коронавируса?
Когда будет разработана вакцина от коронавируса?
Почему нельзя ускорить разработку вакцины?
И почему компании и государства, теряют миллиарды долларов из-за вируса, не вкладывают деньги в ускорение разработки вакцины?
Эффективна ли будет вакцина?","Коронавирусы - это целое семейство вирусов, которые поражают млекопитающих, включая человека, птиц и земноводных. Название данного вида семейства вирусов (коронавирус) связано со строением вируса и наличия у него шиповидных отростков, которые в целом напоминают корону. 
Впервые коронавирус был открыт в 1965 году.  С момента его открытия периодически фиксируются открытие новых видов из данного семейства вирусов. Подавляющее большинство коронавирусов не представляют угрозу для человека и животных. 
Изготовление вакцины против заболеваний,вызванных вирусами из семейства  коронавирусов, в реальности не осуществимо, поскольку каждый из видов данного семейства по своему уникален и может иметь иное строение макромолекулы РНК.
Открытый в 2002 году коронавирус SARS-CoV (САРС) является сходным современному  SARS-CoV 2-19, но не идентичным ему. Из-за различий в макромолекуле РНК даже при наличии работающей вакцины от SARS-CoV, она  не могла бы защитить человека от SARS-CoV 2-19. Поэтому и нельзя сделать общую вакцину на все коронавирусы.На современном этапе не существует эффективных вакцин ни от одного вида семейства коронавирусов. Однако не все коронавирусы являются опасными для человека и животных. Среди данного семейства есть виды, которые не причиняют вреда жизни и здоровью человека.
Длительность разработки вакцины против новой коронавирусной инфекции обусловлена необходимостью проведения  неоднократных клинических исследований на людях, здоровых добровольцах, для определения безопасности вакцины. На следующем этапе проверяется иммуногенность, т.е. эффективность вакцины. Таким образом,должно быть проведено либо два отдельных исследования, либо одно многоэтапное. Обычно эти исследования занимают  минимум 5 — 6 месяцев (без учета времени на  разработку препарата для вакцинации). После этого идут процедуры регистрации вакцины, занимающие по времени не менее двух месяцев.Разработка вакцины в Российской Федерации и в мире была начата сразу после того, как стало ясно, что новая коронавирусная инфекция - серьезный враг, и населению необходим иммунитет. Перед врачами-исследователями и специалистами, занимающимися разработкой прототипов вакцины, на данный момент стоит важная задача изучить всю накопленную в настоящее время информацию о вирусе, его формах, видах лечения и других имеющихся данных. Эта информация крайне необходима для создания прототипа перспективной вакцины с целью ее актуальности в условиях мутаций вирусной инфекции COVID-19. 

В целом в России разрабатываются 26  вариантов вакцины от коронавируса. Сейчас специалисты определяют самые эффективные из них.
В Российской Федерации по ряду препаратов завершаются первичные испытания вакцины, в скором времени начнутся клинические. Есть препараты, которые уже прошли клиническую стадию испытаний и испытываются на добровольцах. 
11 августа 2020 года Российская Федерация первая в мире зарегистрировала вакцину от новой коронавирусной инфекции. По заявлениям разработчиков и министерства Здравоохранения РФ данная вакцина способна развить иммунный ответ организма и сохранять его в течении 2-х лет после вакцинации.  
Таким образом,  вакцина в ограниченном количестве уже доступна к осеннему всплеску (сезонной заболеваемости) ОРВИ различных возбудителей, в том числе и новой коронавирусной инфекции COVID-19.
Перспективная вакцина против новой коронавирусной инфекции продолжает разрабатываться Федеральным бюджетным учреждением науки «Государственный научный центр вирусологии и биотехнологии «Вектор» Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека, который является одним из крупнейших научных вирусологических и биотехнологических центров России. 
Вакцина разрабатываемая Научным центром ""Вектор"" в настоящее время  находится на этапе клинических исследований и испытывается на добровольцах. Первый из них получил вакцину 27 июля 2020 года. Планируется, что вакцина Научного центра ""Вектор"" будет зарегистрирована и поступит в свободный оборот с целью вакцинации населения в октябре 2020 года. Осуществления разработок перспективных вакцин против новой коронавирусной инфекции необходимо ввиду характерного вида вируса, его способности передаваться от человека к человеку и способности к мутациям.
Несмотря на частые мутации коронавируса в нем обнаружены стабильные фрагменты. На них и рассчитывают натренировать наш иммунитет ученые. Что касается краткосрочности иммунной памяти, то опасения постарался развеять один из разработчиков российской вакцины, замдиректора НИИ им. Гамалеи ученый-микробиолог Денис Логунов. Он пояснил: снижение антител в крови со временем не означает, что иммунитет к ковид обязательно пропадает. Да, примерно через два месяца после подъема уровня антител к инфекции происходит его естественное падение. Однако, когда впоследствии вирус попадает в организм, его опознают иммунные клетки памяти, которые снова начинают вырабатывать те самые антитела. Пока это только гипотеза, которую должны подтвердить полноценные клинические исследования. Ученые рассчитывают, что иммунитета после вакцинации будет хватать как минимум на год — как в случае с гриппом.
Глава Минздрава Михаил Мурашко объявил, что первопроходцами в иммунизации населения  станут работники медицинской сферы и учителя. У данных групп достаточно  высокий риск заражения, а массовая заболеваемость среди представителей этих профессий может привести к самым неблагоприятным последствиям.
Главный санитарный врач Анна Попова пояснила, что если нет производственной возможности обеспечить вакциной все население сразу, то «по общим правилам сначала вакцинируют группы риска». Так что следом за медиками и преподавателями, которые рискуют в силу профессии, в очереди на вакцинацию могут оказаться люди старше 65 лет и страдающие хроническими заболеваниями, при которых чаще развиваются тяжелые осложнения ковида.
Широкому кругу вакцина от новой коронавирусной инфекции COVID-19 станет доступна не ранее 1 половины 2021 года, поскольку для объявления массовой иммунизации требуется достаточное количество уже готового (произведенного) препарата.  ",ВАКЦИНАЦИЯ,"Где сделать вакцинацию от коронавируса?
Существует ли вакцина от коронавируса?
?
Когда будет доступна вакцина от ковида?
Есть ли уже вакцина?
Началась ли вакцинация?
Как в целом происходит производство вакцин?
Почему так долго производят вакцину от коронавируса?
Почему не сделали вакцину от коронавируса в 2002 году при первом его проявлении, если вирус уже тогда вызывал острый респираторный синдром?
Когда можно провакцинироваться от коронавируса?
Почему раньше не изобрели вакцину от коронавируса?
Когда будет разработана вакцина от коронавируса?
Почему нельзя ускорить разработку вакцины?
И почему компании и государства, теряют миллиарды долларов из-за вируса, не вкладывают деньги в ускорение разработки вакцины?
Эффективна ли будет вакцина?","Где сделать вакцинацию от коронавируса ? Существует ли вакцина от коронавируса ? 
 ? Когда будет доступна вакцина от ковида ? Есть ли уже вакцина ? Началась ли вакцинация ? Как в целом происходит производство вакцин ? Почему так долго производят вакцину от коронавируса ? Почему не сделали вакцину от коронавируса в 2002 году при первом его проявлении , если вирус уже тогда вызывал острый респираторный синдром ? Когда можно провакцинироваться от коронавируса ? Почему раньше не изобрели вакцину от коронавируса ? Когда будет разработана вакцина от коронавируса ? Почему нельзя ускорить разработку вакцины ? И почему компании и государства , теряют миллиарды долларов из - за вируса , не вкладывают деньги в ускорение разработки вакцины ? Эффективна ли будет вакцина ? ",где сделать вакцинация от коронавирус существовать ли вакцина от коронавирус когда быть доступный вакцина от ковид есть ли уже вакцина начаться ли вакцинация как в целое происходить производство вакцина почему так долго производить вакцина от коронавирус почему не сделать вакцина от коронавирус в 2002 год при первый он проявление если вирус уже тогда вызывать острый респираторный синдром когда можно провакцинироваться от коронавирус почему ранний не изобрести вакцина от коронавирус когда быть разработать вакцина от коронавирус почему нельзя ускорить разработка вакцина и почему компания и государство терять миллиард доллар из-за вирус не вкладывать деньга в ускорение разработка вакцина эффективный ли быть вакцина ,где сделать вакцинация от коронавирус существовать ли вакцина от коронавирус когда быть доступный вакцина от ковид есть ли уже вакцина начаться ли вакцинация как в целое происходить производство вакцина почему так долго производить вакцина от коронавирус почему не сделать вакцина от коронавирус в 2002 год при первый он проявление если вирус уже тогда вызывать острый респираторный синдром когда можно провакцинироваться от коронавирус почему ранний не изобрести вакцина от коронавирус когда быть разработать вакцина от коронавирус почему нельзя ускорить разработка вакцина и почему компания и государство терять миллиард доллар из - за вирус не вкладывать деньга в ускорение разработка вакцина эффективный ли быть вакцина ,где сделать вакцинация от коронавирус существовать ли вакцина от коронавирус когда быть доступный вакцина от ковид есть ли уже вакцина начаться ли вакцинация как в целое происходить производство вакцина почему так долго производить вакцина от коронавирус почему не сделать вакцина от коронавирус в 2002 год при первый он проявление если вирус уже тогда вызывать острый респираторный синдром когда можно провакцинироваться от коронавирус почему ранний не изобрести вакцина от коронавирус когда быть разработать вакцина от коронавирус почему нельзя ускорить разработка вакцина и почему компания и государство терять миллиард доллар из-за вирус не вкладывать деньга в ускорение разработка вакцина эффективный ли быть вакцина 
326,"Сколько стоит сделать вакцину от гриппа?
Можно ли сделать вакцину бесплатно от гриппа?
Где можно сделать вакцину от гриппа?","Бесплатно пройти вакцинацию можно в Вашей медицинской организации (поликлинике) по месту жительства или пребывания. Также в крупных городах привиться можно в мобильных пунктах вакцинации, которые обычно расположены рядом со станциями метро, в торговых центрах и других местах (можно уточнить в комитете (департаменте здравоохранения Вашего региона). Для вакцинации потребуется паспорт и полис ОМС. Желательно иметь прививочный сертификат, в который внесут информацию о прививке.
Привиться от гриппа на платной основе можно в коммерческих и некоторых государственных медицинских организациях, имеющих лицензию на ведение деятельности в области иммунопрофилактики. Стоимость можно уточнить в выбранной Вами организации. ",ВАКЦИНАЦИЯ,"Сколько стоит сделать вакцину от гриппа?
Можно ли сделать вакцину бесплатно от гриппа?
Где можно сделать вакцину от гриппа?",Сколько стоит сделать вакцину от гриппа ? Можно ли сделать вакцину бесплатно от гриппа ? Где можно сделать вакцину от гриппа ? ,сколько стоить сделать вакцина от грипп можно ли сделать вакцина бесплатно от грипп где можно сделать вакцина от грипп ,сколько стоить сделать вакцина от грипп можно ли сделать вакцина бесплатно от грипп где можно сделать вакцина от грипп ,сколько стоить сделать вакцина от грипп можно ли сделать вакцина бесплатно от грипп где можно сделать вакцина от грипп 
327,"Могу я отказаться от вакцинации?
В каких случаях я могу отказаться от вакцинации?
Каковы последствия отказа от вакцинации?
Будут ли осложнения после вакцинации против гриппа?
Кто должен в обязательном порядке прививаться от гриппа?
Кому нужно приваться от гриппа?","Согласно приказу Министерства здравоохранения от 21 марта 2014 г. N 125н «Об утверждении национального календаря профилактических прививок и календаря профилактических прививок по эпидемическим показаниям» к лицам, подлежащим обязательной вакцинации от гриппа отнесены:
 - дети с 6 месяцев, учащиеся 1 - 11 классов; 
 - обучающиеся в профессиональных образовательных организациях и образовательных организациях высшего образования;
 - взрослые, работающие по отдельным профессиям и должностям (работники медицинских и образовательных организаций, транспорта, коммунальной сферы); 
 - беременные женщины; 
 - взрослые старше 60 лет; 
 - лица, подлежащие призыву на военную службу;
 - лица с хроническими заболеваниями, в том числе с заболеваниями легких, сердечно-сосудистыми заболеваниями, метаболическими нарушениями и ожирением.
Роспотребнадзор рекомендует проведение иммунопрофилактики от гриппа всем гражданам без исключения, особенно из числа групп риска.
Вакцинация особенно показана лицам с высоким риском возникновения осложнений в случае заболевания гриппом: лица старше 60 лет, дети дошкольного возраста, школьники; часто болеющие острыми респираторными заболеваниями  взрослые и дети, а также страдающие хроническими заболеваниями. Кроме того, вакцинация также показана лицам, имеющим высокий риск заболевания гриппом или заражения им других лиц, по роду профессии, в т.ч.: медработники, работники образовательных учреждений, сферы социального обслуживания, транспорта, торговли, полиции, военнослужащие и другие.
Следует иметь ввиду, что вакцинация, как любая медицинская процедура имеет противопоказания для ее проведения. Перечень противопоказаний у разных вакцин может отличаться.  В день прививки вакцинируемые должны быть осмотрены врачом (фельдшером) на наличие легко протекающих инфекционных заболеваний с обязательной термометрией. Медицинский персонал опрашивает граждан, в том числе на предмет выявления противопоказаний к вакцинации. 
Вакцинация, как любая медицинская процедура может иметь побочные (нежелательные) эффекты.  Перечень таких эффектов у разных вакцин может отличаться. Это зависит от состояния Вашей иммунной системы.
Также любой гражданин согласно  статье 5 Федерального закона «Об иммунопрофилактике инфекционных болезней от 17 сентября 1998 года № 157 –ФЗ, имеет право на отказ от вакцинации. Такой отказ оформляется письменно (в отношении детей - родителем ребенка или иным законным представителем). 
Согласно пункту 2 статьи 5, пункту 3 статьи 11 Федерального закона от 17.09.1998 № 157-ФЗ «Об иммунопрофилактике инфекционных болезней» отсутствие у граждан, не имеющих медицинских противопоказаний, профилактических прививок влече тотказ в приеме граждан на работы или отстранение граждан от работ, выполнение которых связано с высоким риском заболевания инфекционными болезнями. Пунктом 12 Перечня работ, выполнение которых связано с высоким риском заболевания инфекционными болезнями и требует обязательного проведения профилактических прививок, утвержденного постановлением Правительства Российской Федерации от 15 июля 1999 г. №825, работы в организациях, осуществляющих образовательную деятельность отнесены к работам, выполнение которых связано с высоким риском заболевания инфекционными болезнями, что требует обязательного проведения работникам профилактических прививок в соответствии с Национальным календарем профилактических прививок. Таким образом, работники детских образовательных и оздоровительных организаций (школ, детских садов, и т.п.) подлежат обязательной вакцинации, согласно приказу Министерства здравоохранения РФ от 21 марта 2014 г. N 125н «Об утверждении национального календаря профилактических прививок и календаря профилактических прививок по эпидемическим показаниям», в т.ч. вакцинации против гриппа.
Законодательством предусмотрено, что отсутствие профилактических прививок влечет также временный отказ в приеме детей в детские образовательные и оздоровительные учреждения в случае возникновения или угрозе массовых инфекционных заболеваний.



",ВАКЦИНАЦИЯ,"Могу я отказаться от вакцинации?
В каких случаях я могу отказаться от вакцинации?
Каковы последствия отказа от вакцинации?
Будут ли осложнения после вакцинации против гриппа?
Кто должен в обязательном порядке прививаться от гриппа?
Кому нужно приваться от гриппа?",Могу я отказаться от вакцинации ? В каких случаях я могу отказаться от вакцинации ? Каковы последствия отказа от вакцинации ? Будут ли осложнения после вакцинации против гриппа ? Кто должен в обязательном порядке прививаться от гриппа ? Кому нужно приваться от гриппа ? ,мочь я отказаться от вакцинация в какой случай я мочь отказаться от вакцинация каков последствие отказ от вакцинация быть ли осложнение после вакцинация против грипп кто должный в обязательный порядок прививаться от грипп кто нужно приваться от грипп ,мочь я отказаться от вакцинация в какой случай я мочь отказаться от вакцинация каков последствие отказ от вакцинация быть ли осложнение после вакцинация против грипп кто должный в обязательный порядок прививаться от грипп кто нужно приваться от грипп ,мочь я отказаться от вакцинация в какой случай я мочь отказаться от вакцинация каков последствие отказ от вакцинация быть ли осложнение после вакцинация против грипп кто должный в обязательный порядок прививаться от грипп кто нужно приваться от грипп 
